Borough name,Ward name,One bedroom,Two bedrooms,Three bedrooms,Four bedrooms,Five bedrooms,Six bedrooms
Waltham Forest,Leyton,733,814,895,977,1058,1140
Waltham Forest,Leytonstone,776,862,949,1035,1121,1207
Waltham Forest,Markhouse,789,877,964,1052,1140,1228
Waltham Forest,Valley,631,701,771,841,911,981
Waltham Forest,William Morris,931,1035,1138,1242,1345,1449
Waltham Forest,Wood Street,776,862,949,1035,1121,1207
Wandsworth,Balham,1154,1282,1410,1538,1666,1794
Wandsworth,Bedford,1082,1203,1323,1443,1564,1684
Wandsworth,Earlsfield,1099,1221,1343,1465,1588,1710
Wandsworth,East Putney,1152,1280,1408,1536,1664,1793
Wandsworth,Fairfield,1115,1239,1363,1487,1611,1734
Wandsworth,Furzedown,949,1055,1160,1266,1371,1476
Wandsworth,Graveney,1021,1135,1248,1361,1475,1588
Wandsworth,Latchmere,1032,1147,1261,1376,1491,1605
Wandsworth,Nightingale,1120,1244,1369,1493,1618,1742
Wandsworth,Northcote,1308,1454,1599,1745,1890,2035
Wandsworth,Queenstown,1347,1497,1647,1796,1946,2096
Wandsworth,Roehampton and Putney Heath,898,998,1098,1198,1297,1397
Wandsworth,St Mary's Park,1212,1346,1481,1616,1750,1885
Wandsworth,Shaftesbury,1207,1341,1475,1610,1744,1878
Wandsworth,Southfields,1101,1223,1346,1468,1590,1713
Wandsworth,Thamesfield,1238,1375,1513,1650,1788,1925
Wandsworth,Tooting,981,1090,1199,1308,1417,1526
Wandsworth,Wandsworth Common,1110,1234,1357,1480,1604,1727
Wandsworth,West Hill,987,1097,1207,1317,1426,1536
Wandsworth,West Putney,1070,1189,1308,1427,1546,1665
Westminster,Abbey Road,1056,1174,1291,1408,1526,1643
Westminster,Bayswater,1104,1227,1349,1472,1595,1717
Westminster,Bryanston and Dorset Square,1159,1288,1417,1546,1674,1803
Westminster,Churchill,1086,1206,1327,1448,1568,1689
Westminster,Church Street,919,1022,1124,1226,1328,1430
Westminster,Harrow Road,954,1060,1166,1272,1378,1484
Westminster,Hyde Park,1125,1250,1375,1499,1624,1749
Westminster,Knightsbridge and Belgravia,1379,1532,1686,1839,1992,2145
Westminster,Lancaster Gate,1146,1274,1401,1528,1656,1783
Westminster,Little Venice,1149,1277,1405,1533,1660,1788
Westminster,Maida Vale,1094,1215,1337,1458,1580,1701
Westminster,Marylebone High Street,1185,1317,1449,1580,1712,1844
Westminster,Queen's Park,924,1026,1129,1232,1334,1437
Westminster,Regent's Park,1155,1283,1411,1539,1668,1796
Westminster,St James's,1187,1319,1450,1582,1714,1846
Westminster,Tachbrook,1062,1180,1299,1417,1535,1653
Westminster,Vincent Square,1152,1280,1408,1536,1664,1792
Westminster,Warwick,1146,1274,1401,1528,1656,1783
Westminster,Westbourne,974,1082,1191,1299,1407,1515
Westminster,West End,1237,1375,1512,1650,1787,1925
